	beer_name	abv	brewery	type
9302	174 IPA	8.00	Cervecería Barbarian	American IPA
9303	Wäls Trippel	9.00	Cervejaria Wäls	Belgian Tripel
9304	Hocktoberfest	5.20	Sterling Pig Brewery	German Märzen / Oktoberfest
9305	Double Dry Hopped The Punk With The Stutter	7.30	SingleCut Beersmiths	American IPA
9306	Megadestroyer Imperial Licorice Stout	10.00	Howe Sound Inn & Brewing Company	American Imperial Stout
9307	House	4.80	House Brewing Co.	American Light Lager
9308	Charming Disarmer	5.40	Silver City Brewing Co.	American Wild Ale
9309	Sweet Jesus Mocha Marshmallow Stout	6.70	Left Field Brewery	English Sweet / Milk Stout
9310	Bella Czech Pils	5.30	Wachusett Brewing Company	Bohemian Pilsener
9311	Classic IPA	6.00	Full Sail Brewing Company	American IPA
9312	Oktoberfest	5.70	Millstream Brewing Company	German Märzen / Oktoberfest
9313	Consumed 15 Today, Diane. All Galaxy	7.00	Evil Twin Brewing	New England IPA
9314	The Veil / 3 Sons - Bourbon Distant	12.50	The Veil Brewing Co.	American Imperial Stout
9315	Financial Irresponsibility	8.20	Monkish Brewing Co.	American Imperial IPA
9316	#LoveLoudoun	5.50	Loudoun Brewing Co.	American Amber / Red Ale
9317	Citrus Galaxy	6.60	Georgetown Brewing Company	American IPA
9318	Johnny Rails Pumpkin Ale	6.50	Erie Brewing Co.	Pumpkin Beer
9319	Ferocious Citrus IPA	6.20	Hopworks Urban Brewery	American IPA
9320	Santo	4.70	Saint Arnold Brewing Company	German Kölsch
9321	Marco IPA	7.00	Zilker Brewing Co.	American IPA
9322	Shambolic	6.50	Tired Hands Brewing Company	Belgian Saison
9323	Pinks & Greens & Enigma	6.60	Ellipsis Brewing	American IPA
9324	Old Backus Barleywine	10.50	Free State Brewing Co.	American Barleywine
9325	Hyper Retro Lemon Ginger Saison	4.30	Platform Beer Co.	Belgian Saison
9326	Be Humble, Sip Down	7.20	Burgeon Beer Company	American IPA
9327	Brut Willis	6.00	Belching Beaver Brewery	American Brut IPA
9328	Trader Joe's Vintage 2017 Ale	9.00	Trader Joe's Brewing Company	Belgian Strong Dark Ale
9329	Frm	5.30	Brussels Beer Project	Fruit and Field Beer
9330	Elephant Beer	7.20	Carlsberg Danmark A/S	European Strong Lager
9331	Saison Du Pinacle	6.50	Brasserie Dunham	Belgian Saison
9332	Super Galactic Space Dragon	8.90	Odin Brewing Company	American Imperial IPA
9333	Grand Reserve	11.00	Parish Brewing Company	American Barleywine
9334	Monsters' Park - Bourbon Barrel-Aged With Vanilla Beans	13.70	Modern Times Beer	American Imperial Stout
9335	Decidedly Undecided	5.80	Angry Chair Brewing	American Imperial Pilsner
9336	Celestial Fuzz	6.00	Monkish Brewing Co.	American Wild Ale
9337	Crazy Dayz	4.90	Brew Link Brewing Company	American Cream Ale
9338	Itaipava Go Draft	4.70	Cervejaria Petrópolis	American Adjunct Lager
9339	Positron IPA	6.80	Seapine Brewing Company	American IPA
9340	Northern Migration	6.10	Civil Society Brewing	American IPA
9341	Darshmellow	14.00	Prairie Artisan Ales	American Imperial Stout
9342	Ain Ttoo Runk Tob Rew	?	Cycle Brewing	American Imperial Stout
9343	Alpha King	6.66	3 Floyds Brewing Co.	American Pale Ale (APA)
9344	Cigar City / Funky Buddha / BlueJacket - Snack Attack	11.20	Cigar City Brewing	American Imperial Stout
9345	Hitachino Nest Commemorative Ale	9.00	Kiuchi Brewery	German Eisbock
9346	Summit House Stout	7.50	Pikes Peak Brewing Company	English Oatmeal Stout
9347	Pilsner Urquell	4.40	Plzeňský Prazdroj	Bohemian Pilsener
9348	Bagel And Schmear	7.50	Other Half Brewing Co.	American IPA
9349	Tangerine High Boy	9.00	Independence Brewing Co.	American Imperial IPA
9350	King Cobra	7.50	Cobra Beer Partnership Limited	European Strong Lager
9351	Untitled Art / Mikerphone - Horchata Milk Stout	10.00	Untitled Art	English Sweet / Milk Stout
9352	Avatar Jasmine IPA	6.30	Elysian Brewing Company	American IPA
9353	Magically Hoplicious	9.50	Altamont Beer Works	American Imperial IPA
9354	Jake's Vanilla Bean Porter	6.30	Paw Paw Brewing Company	American Porter
9355	Wonder Boy	5.40	Red Horn Coffee House & Brewing Co.	German Hefeweizen
9356	Animal Print - Mexican Hot Chocolate	12.50	Half Acre Beer Company	American Imperial Stout
9357	Nova Schin Pilsen	4.70	Brasil Kirin	American Adjunct Lager
9358	Buzz	8.50	Night Shift Brewing	American Imperial IPA
9359	Tocayo Hominy White Ale	5.50	Tocayo Brewing Company	Belgian Witbier
9360	Altar of the Orc Lord Cognac Barrel Aged	12.80	Modern Times Beer	British Barleywine
9361	Pipewrench	8.00	Gigantic Brewing Company	American Imperial IPA
9362	Territorial Reserve Bourbon Barrel Aged Imperial Stout	?	COOP Ale Works	American Imperial Stout
9363	Classic Pilsner	5.50	Old Bisbee Brewing Company	Bohemian Pilsener
9364	Mosaic Crush	6.00	Moonraker Brewing Company	American Pale Ale (APA)
9365	Pink Guava Massacre	?	Barn Town Brewing	Berliner Weisse
9366	Thursty	8.00	Mikerphone Brewing	American Imperial IPA
9367	Bellerophon	13.50	Ethereal Brewing	British Barleywine
9368	The Baltic Merman	8.00	Jackie O's Pub & Brewery	Baltic Porter
9369	No Hope for the Kids	6.40	Counter Weight Brewing Company	American IPA
9370	Maiden 2014	11.10	Siren Craft Brew	British Barleywine
9371	Flora Mélange	?	Hill Farmstead Brewery	Belgian Saison
9372	Bull Pop Berliner	4.00	Bolero Snort Brewery	Berliner Weisse
9373	Faxe Premium	5.00	Royal Unibrew A/S	European Pale Lager
9374	Hop Box	8.20	Joseph James Brewing Inc.	American Imperial IPA
9375	Modern Times / Bearded Iris - Harvest Of Memories	8.00	Modern Times Beer	New England IPA
9376	The Tow Truck Tripel	9.10	Garage Brewing Co.	Belgian Tripel
9377	The Dude ESB	5.70	Fat Head's Brewery & Saloon	English Extra Special / Strong Bitter (ESB)
9378	Gravity	14.50	Ellison Brewery & Spirits	American Imperial Stout
9379	Winter American Sour Blend	6.90	Ardent Craft Ales	American Wild Ale
9380	Bam Bière	4.50	Jolly Pumpkin Artisan Ales	Belgian Saison
9381	Pub Crawl	4.70	Saint Arnold Brewing Company	American Pale Ale (APA)
9382	Better Angels	6.50	Mustang Sally Brewing Company	American IPA
9383	Last Light IPA	6.80	Common Roots Brewing Company	American IPA
9384	Lactobechillus	5.30	Brix City Brewing	American Wild Ale
9385	Tropic Nuggets	8.50	450 North Brewing Company	American Imperial IPA
9386	Grapefruit Shandy	5.50	2 Feet Brewing	Fruit and Field Beer
9387	Ionic Irish Style Ale	5.70	Theoretically Brewing Company	Irish Red Ale
9388	Waimea Waves	8.00	Upper Pass Beer Company	New England IPA
9389	Ypsi Gold	4.50	Arbor Brewing Company	American Blonde Ale
9390	Major Tom	6.50	Pale Fire Brewing Co.	American IPA
9391	Jaguar Shark	10.00	Pinthouse Pizza Craft Brewpub	American Imperial Stout
9392	Cascade Pale Ale	4.80	Saltaire Brewery Limited	American Pale Ale (APA)
9393	Rondy Brew (2015)	6.00	Anchorage Brewing Company	Belgian Saison
9394	Good Old Potosi	5.00	Potosi Brewing Company	American Blonde Ale
9395	BA Aurox W/ Pure Liquid Cocoa/Coconut	10.70	Alluvial Brewing Company	American Imperial Stout
9396	Magic Rock / Other Half Brewing Half Cut	8.00	Magic Rock Brewing	American Imperial IPA
9397	Super Secret Stairs	9.10	Trillium Brewing Company	American Imperial Stout
9398	W-IBA	10.00	Tamamura Honten	American Black Ale
9399	If Trees Could Talk	8.50	Vanished Valley Brewing	American Imperial IPA
9400	Frye's Leap IPA	6.00	Sebago Brewing Company	American IPA
9401	Barrel-Aged Chopper's	7.00	Georgetown Brewing Company	American Amber / Red Ale
9402	Irish Red	6.20	Spotted Dog Brewery	Irish Red Ale
9403	Dragoon IPA	7.30	Dragoon Brewing Co.	American IPA
9404	Primus Weizenbock	8.30	Live Oak Brewing Company	German Weizenbock
9405	Bubbler	4.00	New Glarus Brewing Company	German Hefeweizen
9406	Samuel Adams Irish Red	5.80	Boston Beer Company (Samuel Adams)	Irish Red Ale
9407	Trillium / Cloudwater - Exchange Student	8.50	Trillium Brewing Company	American Imperial IPA
9408	Saint Arnold Ale Wagger	5.30	Saint Arnold Brewing Company	American Brown Ale
9409	10W-40 - Horchata	8.00	Hi-Wire Brewing	American Imperial Stout
9410	Grandma's Boy Wild Ale	7.90	Bellwoods Brewery	American Wild Ale
9411	Unwind Your Mind	7.50	Hop Butcher For The World	American Imperial IPA
9412	Luminary	6.10	Upland Brewing Company	American Wild Ale
9413	Zog's Pale Ale	5.50	Idletyme Brewing Company	American Pale Ale (APA)
9414	Saison Tradition	5.20	Brasseurs Du Monde	Belgian Saison
9415	Bier De Loup	?	American Solera	Belgian Saison
9416	Handtruck Pale Ale	5.50	Barley Brown's Brewpub	American Pale Ale (APA)
9417	Maple Samson	12.00	de Garde Brewing	American Imperial Stout
9418	Bark IPA	6.10	Barking Deer BrewPub	English India Pale Ale (IPA)
9419	Vietnamese Iced Coffee	10.30	The Bruery	American Imperial Stout
9420	Stone Fruit Sour	5.70	Brewery Vivant	Berliner Weisse
9421	Capella Porter	5.20	Ecliptic Brewing	American Porter
9422	Forever Simcoe	8.50	Other Half Brewing Co.	American Imperial IPA
9423	Mount Remarkable	5.50	Modern Times Beer	American Lager
9424	Calumet Queen	5.00	3 Floyds Brewing Co.	German Kölsch
9425	Slumbering Behemoth	10.00	Counter Weight Brewing Company	American Imperial Stout
9426	Krombacher Weizen	5.30	Krombacher Brauerei	German Hefeweizen
9427	Low Life	5.50	Evil Twin Brewing	German Pilsner
9428	PM Dawn W/ Cold Brew Coffee	9.00	Trillium Brewing Company	American Imperial Stout
9429	Tarnation Maine Lager	5.30	Baxter Brewing Co.	American Lager
9430	Juice Gymnastics	8.70	Cellarmaker Brewing Co.	American Imperial IPA
9431	Oh-J	8.10	Lone Pine Brewing Company	American Imperial IPA
9432	Orange Gose	4.10	Crane Brewing Company	Leipzig Gose
9433	E Pluribus Lupulin 3: Bulbus	9.70	Gun Hill Brewing Company	American Imperial IPA
9434	Original Pfaffen	4.90	Pfaffen-Brauerei Max Päffgen	German Kölsch
9435	Iron City Beer	4.70	Pittsburgh Brewing Co.	American Adjunct Lager
9436	Am I Right Or Amarillo	6.00	Bell's Brewery - Eccentric Café & General Store	American IPA
9437	Free Verse	6.80	The Virginia Beer Company	New England IPA
9438	Triple Chocoholic	4.80	Saltaire Brewery Limited	English Stout
9439	Hop Continuum No. 3 - Double IPA	8.90	DuClaw Brewing Company	American Imperial IPA
9440	The Beast Arise Like Yeast	10.00	Equilibrium Brewery	American Imperial IPA
9441	Bad Decision Juice	4.70	Backlash Beer Company	American IPA
9442	Call Me Ginger	4.80	Mother Earth Brew Co.	American Blonde Ale
9443	Hofbräu Winter Spezial	8.40	Hofbräuhaus München	German Doppelbock
9444	New England IPA	7.10	Young Lion Brewing Company	New England IPA
9445	Feeling Good	8.50	Rhinegeist Brewery	American IPA
9446	Roam: Enigma	5.70	Fox Farm Brewery	American Pale Ale (APA)
9447	Poor Richard's Tavern Spruce Ale	5.00	Yards Brewing Co.	Herb and Spice Beer
9448	Wylder	8.30	Relic Brewing Co.	American Imperial IPA
9449	Podge Belgian Imperial Stout	10.50	Picobrouwerij Alvinne	Russian Imperial Stout
9450	Star Death	10.20	Urban Family Brewing Co.	American Imperial IPA
9451	8th Anniversary Pecan Cookie Stout	9.00	Westbrook Brewing Co.	American Imperial Stout
9452	Shiner White Wing	4.70	Spoetzl Brewery / Shiner	Belgian Witbier
9453	Kuhnhenn Blueberry DRIPA	8.75	Kuhnhenn Brewing Company	American Imperial IPA
9454	Pils	5.10	Fair State Brewing Cooperative	German Pilsner
9455	Fusca	9.00	Squawk Brewing Co	American Imperial Stout
9456	Verhaeghe Echte Kriek / Echte Kriekenbier	6.80	Brouwerij Verhaeghe	Flanders Red Ale
9457	Art Brut	5.50	Middle Brow Beer Co.	American Brut IPA
9458	Iconoclast	8.40	Commonwealth Brewing Company	American Imperial IPA
9459	Pony Boy Pale Ale	5.50	Frost Beer Works	American Pale Ale (APA)
9460	Alpha Ox	4.50	Old Ox Brewery	American IPA
9461	Black Tide	9.00	Mikkeller Brewing San Diego	Baltic Porter
9462	Not Just For Breakfast Coffee Stout	6.00	Shovel Town Brewery	American Stout
9463	Imperial Eclipse Stout - Maple Vanilla	11.00	FiftyFifty Brewing Co.	American Imperial Stout
9464	Foster's Premium Ale	5.50	Foster's Group Limited	English Extra Special / Strong Bitter (ESB)
9465	Winter Welcome Ale	6.00	Samuel Smith Old Brewery (Tadcaster)	Winter Warmer
9466	Porter	6.50	Founders Brewing Company	Robust Porter 
9467	Raspberry Lime Sour	5.50	Vail Brewing Co.	American Wild Ale
9468	RPA (Rye Pale Ale)	6.60	Cameron's Brewing Co.	Rye Beer
9469	Smeocan	5.00	Brasserie Artisanale Albion	Smoke Beer
9470	Hoppopotamus	6.70	Metazoa Brewing Company	American IPA
9471	"Double ""Doggy"""	8.50	Cervejaria Maniba	American Imperial IPA
9472	Single Shot - Oreo	6.40	Tree House Brewing Company	English Sweet / Milk Stout
9473	Saranac Permafrost	8.50	Matt Brewing Company / Saranac Brewery	American Imperial IPA
9474	A-Crop Blacklight - Bourbon Barrel-Aged	9.00	Zaftig Brewing Co.	American Imperial Stout
9475	Coffee Porter	5.40	Shipyard Brewing Company	English Porter
9476	Graeter's Black Raspberry Chocolate Chip Milk Stout	7.00	Braxton Brewing Company	English Sweet / Milk Stout
9477	God Damn Raspberry Pigeon Porter	8.20	Spiteful Brewing	American Imperial Porter
9478	El Mariachi - Rum Barrel-Aged	?	Aardwolf Brewing Company	American Imperial Stout
9479	MorningStar	9.00	Four Quarters Brewing Co.	American Imperial Stout
9480	Cat Kong	12.00	Hidden Springs Ale Works	American Imperial Stout
9481	DDH Mixed Greens 33 (Mosaic, Waimea, and Taiheke)	6.20	Southern Grist Brewing Co.	New England IPA
9482	Splish	8.00	Grimm Artisanal Ales	American Imperial IPA
9483	Knock Out Irish Red	8.16	Bitter Sisters Brewing Company	Irish Red Ale
9484	XS Imperial Red	9.00	Rogue Ales	American Imperial Red Ale
9485	Sour Hop Stand IPA	6.00	WeldWerks Brewing Co.	American IPA
9486	Sofa King Juicy	6.50	30 Mile Brewing Co.	American IPA
9487	Terpene Dream	?	Hops and Grain Brewery	American Pale Ale (APA)
9488	Brush Hog	7.00	Plan Bee Farm Brewery	Belgian Saison
9489	Persica	6.00	Crooked Stave Artisan Beer Project	American Wild Ale
9490	Golden Ale	4.40	Two Birds Brewing	American Blonde Ale
9491	Last Leaf Maple Brown Ale	6.10	Starr Hill Brewery	English Brown Ale
9492	Kuhnhenn Summer Wonder	13.00	Kuhnhenn Brewing Company	German Bock
9493	Curiosity Thirty Nine	8.00	Tree House Brewing Company	American Imperial IPA
9494	R&D Sour Fruit (Very Sour Blackberry)	5.00	New Glarus Brewing Company	American Wild Ale
9495	Moinette Brune	8.50	Brasserie Dupont sprl	Belgian Strong Dark Ale
9496	Barrier / KCBC - That's A Lot Of Dough	7.50	Barrier Brewing Company	American IPA
9497	River Horse India Pale Ale	5.70	River Horse Brewing Co.	American IPA
9498	Pumpkin Chucker Chocolate Stout	7.00	Fat Head's Brewery & Saloon	Pumpkin Beer
9499	A Night On Ponce IPA	7.50	Three Taverns Craft Brewery	American IPA
9500	Oja	7.60	Iowa Brewing Company	Baltic Porter
9501	Mango Coconut Smoothie	9.30	Decadent Ales	American Imperial IPA
9502	Nimbus Oatmeal Stout	5.00	Nimbus Brewing Company	English Oatmeal Stout
9503	Black Matter	8.60	Manhattan Project Beer Company	English Oatmeal Stout
9504	Treacle Treat	4.20	Wadworth and Company Ltd.	English Dark Mild Ale
9505	Mexican Coffee	11.30	Funky Buddha Brewery	American Imperial Stout
9506	Thank You 2018	7.00	Maine Beer Company	American IPA
9507	Cellar Series: Pime Öö PX	13.90	Põhjala Brewery	Russian Imperial Stout
9508	Barrel Aged Muy Bonita (Bourbon)	9.00	Funky Buddha Brewery	American Brown Ale
9509	Whole Punch: Jelly Donut	7.00	Hitchhiker Brewing Company	American IPA
9510	Plaid Ferret Scottish Ale	4.50	Weasel Boy Brewing Company	Scottish Ale
9511	Arcus India Pale Ale	6.20	Big Storm Brewing Company - Odessa	American IPA
9512	Titan Of Tokyo	5.00	Bottle Logic Brewing	Berliner Weisse
9513	Averbode	7.50	Brouwerij Huyghe	Belgian Strong Pale Ale
9514	Gelato - Orange Mango	8.00	South County Brewing Co.	American Imperial IPA
9515	Dundee Export Scotch Ale	6.50	Upstream Brewing Company - Old Market	Scottish Ale
9516	Jubilee XI	11.00	AleWerks Brewing Company	Belgian Strong Dark Ale
9517	B.O.R.I.S. Royale - Barrel-Aged	9.40	Hoppin' Frog Brewery	Russian Imperial Stout
9518	Gearshifter	6.80	Stoudts Brewing Co.	American IPA
9519	Sensory Overload	6.50	Ology Brewing Company	American IPA
9520	Decklin's Indulgence	6.00	Big Top Brewing Company	American Brown Ale
9521	Weekend Lager	4.80	AleWerks Brewing Company	American Lager
9522	Melonhead	4.40	Shipyard Brewing Company	Fruit and Field Beer
9523	Justin Blåbær - Red Wine Barrel-Aged	4.50	Evil Twin Brewing	Berliner Weisse
9524	An Act of Perseverance	5.80	Unified Beerworks	Irish Dry Stout
9525	Vicaris Winter 17	10.00	Brouwerij Dilewyns	Belgian Strong Dark Ale
9526	Double Naked Fish	7.60	DuClaw Brewing Company	American Imperial Stout
9527	Smuttlabs Smoked Peach Short Weisse	6.90	Smuttynose Brewing Company	Berliner Weisse
9528	Houblon Sauvage	4.90	Brasserie Artisanale De Rulles SPRL	Belgian Pale Ale
9529	Prytania Imperial Porter	8.00	New Orleans Lager & Ale Brewing Company (NOLA)	American Imperial Porter
9530	County Line IPA	6.60	Neshaminy Creek Brewing Company	American IPA
9531	Apollo Sunshine	4.90	Lamplighter Brewing Company	German Pilsner
9532	Forêt De Tronçais (Medium Toasted)	19.30	Mikkeller ApS	British Barleywine
9533	Red Ale	6.00	Dog Money Restaurant & Brewery	American Amber / Red Ale
9534	Helmet Of Remnar	9.40	Greenbush Brewing Company	Belgian Strong Pale Ale
9535	Rinse / Repeat - Hallertau Blanc	7.00	Westbrook Brewing Co.	American IPA
9536	Nocturnal Black Lager	3.90	Wallenpaupack Brewing Company	German Schwarzbier
9537	Hamm's Special Light	3.80	Hamm's Brewing Co.	American Light Lager
9538	Grand Rye Pale Ale	5.50	Old Nation Brewing Co.	Rye Beer
9539	Chronology:24 - Imperial Porter	13.60	The Bruery	American Imperial Porter
9540	Peanut Butter Vs. Jelly	8.10	Ingenious Brewing Company	American Porter
9541	Citra Dog	6.50	Thirsty Dog Brewing Company	American IPA
9542	Sigrid Kölsch	5.20	Bennidito's Brewpub	German Kölsch
9543	Dorks of Hazard	7.00	Hoof Hearted Brewing	American IPA
9544	Barn Dog	7.00	Wyndridge Farm Brewing	American Imperial Porter
9545	Elevation Pilsner	5.00	Elevation Beer Co.	German Pilsner
9546	Super 8 IPA	6.00	Brouwerij Haacht NV	Belgian IPA
9547	Zero Visibility	8.30	Skookum Brewery	New England IPA
9548	Crosswind Pale Ale	5.00	Lake of Bays Brewing Company	American Blonde Ale
9549	Deconstructed Bomb! Chocolate/Cocoa Nibs	13.00	Prairie Artisan Ales	American Imperial Stout
9550	Port Omna - Mint Chocolate Chip	6.20	Kane Brewing Company	American Stout
9551	Process/Progress #15	8.00	Proclamation Ale Company	American Imperial IPA
9552	Washington Street	6.40	Iron Brewing Company	American Imperial IPA
9553	Hessian In Paradise	3.80	Gun Hill Brewing Company	Berliner Weisse
9554	Eraserhead	8.80	Foam Brewers	New England IPA
9555	Porteris	6.80	Aldaris	Baltic Porter
9556	6 Killer Stout With Hazelnut Coffee	6.00	Ironfire Brewing Company	American Stout
9557	Insane Rush IPA	7.60	Bootstrap Brewing	American IPA
9558	AON Bourbon Brownie	11.00	Omnipollo	American Imperial Stout
9559	American Barleywine	11.80	Rivington Brewing Company Ltd	American Barleywine
9560	Roguish Stout	?	Grist Brewing Company	Irish Dry Stout
9561	Spaceboy Stout	6.00	B.O.B.'s Brewery	English Oatmeal Stout
9562	Esther's Lil Secret (2018)	8.00	Warped Wing Brewing Company	American Stout
9563	Captain Of The Coast	9.50	Pelican Pub & Brewery	Scotch Ale / Wee Heavy
9564	Sasquatch Double IPA	9.00	Six Rivers Brewery	American Imperial IPA
9565	Macademia Nut Porter	6.00	Six Rivers Brewery	American Porter
9566	Stonefly Rye	4.60	Three Creeks Brewing Co.	Rye Beer
9567	Take 5 Session IPA	4.30	Harpoon Brewery & Beer Hall	American IPA
9568	Wild Sour Series: Synchopathic Apricot	6.00	DESTIHL Brewery	American Wild Ale
9569	Grapefruit Garden Of Grass	7.50	Brewmaster Jack	American IPA
9570	Shell Raiser	7.20	DuClaw Brewing Company	American IPA
9571	Barrel Aged What Is Enlightenment?	?	Hill Farmstead Brewery	American Pale Ale (APA)
9572	Forst Premium	4.80	Brauerei Forst AG	European Pale Lager
9573	Right Ripped	7.40	One Well Brewing	American IPA
9574	Préaris Quadrocinno	10.00	Vliegende Paard Brouwers	Belgian Strong Dark Ale
9575	Mocha Oatmeal	6.50	Sibling Revelry Brewing	English Oatmeal Stout
9576	Oliver's Island	3.80	Fuller Smith & Turner PLC	English Pale Ale
9577	Sideways Glance	?	Short Story Brewing	American Imperial IPA
9578	Homework Series Batch No. 6 - Robust Porter	7.80	Ballast Point Brewing Company	Robust Porter 
9579	Double Roast Keen Coffee	10.00	Brouwerij De Moersleutel	American Imperial Porter
9580	Samuel Adams Escape Route	5.00	Boston Beer Company (Samuel Adams)	German Kölsch
9581	Soup Du Jour - Citra	7.00	Sand City Brewing Co.	American IPA
9582	King Chocula	6.00	The Perch Pub & Brewery	English Porter
9583	Oak Creek IPA	6.00	Oak Creek Brewing Co.	American IPA
9584	Oppigårds / Närke Thurbo Kaggen Stormaktsporter	13.00	Oppigårds Bryggeri AB	American Imperial Stout
9585	Kegslayer	6.00	Cooperage Brewing Company	American IPA
9586	Bud's Corvus	4.70	Sketchbook Brewing Company	Irish Dry Stout
9587	David Humphrey's	13.10	Cigar City Brewing	American Barleywine
9588	Red Maletto	4.60	Levante Brewing Company	German Kölsch
9589	Family Reunion	7.00	Monday Night Brewing	Belgian Saison
9590	Nut Roll Ale	5.00	Pennsylvania Brewing Company	American Brown Ale
9591	Pumpernickel Rye Saison	6.10	The Commons Brewery	Rye Beer
9592	Fish In A Barrel	8.80	Hermit Thrush Brewery	Belgian Saison
9593	Prior 8	8.00	Brouwerij St. Bernardus NV	Belgian Dubbel
9594	Timeless Beauty	7.10	Chapman Crafted Beer	American IPA
9595	Blackout Stout	9.90	Great Lakes Brewing Co.	Russian Imperial Stout
9596	Schlitz Gusto (Classic 1960's Formula)	4.70	JOS. Schlitz Brewing Co. (Pabst)	American Adjunct Lager
9597	Brooklyn Defender IPA	5.90	Brooklyn Brewery	American IPA
9598	Busch Ice	5.90	Anheuser-Busch	American Adjunct Lager
9599	Tanteke	6.00	En Stoemelings	Belgian Saison
9600	Lot #3 IPA	6.80	Evolution Craft Brewing Company	American IPA
9601	Ceres Blue Bridge	5.00	Ceres Brewery (Royal Unibrew)	American Lager
9602	Laika Russian Imperial Stout	9.75	Straight To Ale	Russian Imperial Stout
9603	Gravity Flux	14.50	Ellison Brewery & Spirits	American Imperial Stout
9604	Samuel Adams Double Agent IPL	5.00	Boston Beer Company (Samuel Adams)	American Lager
9605	Murloc	5.00	Calusa Brewing	English Dark Mild Ale
9606	Never Nude Blueberry American Wheat Ale	?	Red Cypress Brewery	American Pale Wheat Ale
9607	Got Nelson?	7.20	Thorn Street Brewery	American IPA
9608	Flying Mouflon - Oak Barrel-Aged	11.70	Tröegs Brewing Company	American Barleywine
9609	No Crusts	6.00	Funky Buddha Brewery	American Brown Ale
9610	Nut Brown Ale (Pub Series)	6.00	Full Sail Brewing Company	American Brown Ale
9611	El Dorado-Hero	7.20	Revolution Brewing	American IPA
9612	High Falutin	8.50	Noon Whistle Brewing	Scotch Ale / Wee Heavy
9613	Elevation Calculation	8.00	Revision Brewing Company	New England IPA
9614	Professional Texan	4.40	Fredonia Brewery	German Kölsch
9615	North By Northwest Okanogan Black Ale	?	North by Northwest Restaurant & Brewery	Belgian Dark Ale
9616	Angry Santa	7.50	Rahr & Sons Brewing Company	Winter Warmer
9617	Alpha Hop Society: Barrel-Aged Biscotti Beer	9.70	Sierra Nevada Brewing Co.	American Strong Ale
9618	Biomimicry - Belma, Chinook, Citra, Denali	6.00	Speciation Artisan Ales	American Wild Ale
9619	Lost Highway Black India Pale Ale	8.00	Mother Road Brewery	American Black Ale
9620	Foo Foo	5.50	Grimm Artisanal Ales	American Pale Ale (APA)
9621	Reserve Cuvee Blend #1	14.00	Rip Current Brewing	American Strong Ale
9622	Crawlspace IPA	4.90	Scofflaw Brewing Company	American IPA
9623	The Last And Final Judgement (2016)	11.00	Mystic Brewery	Belgian Quadrupel (Quad)
9624	Fifth Orbit	8.00	Ecliptic Brewing	Fruit and Field Beer
9625	Beipiaosaurus	7.70	Urban Artifact	American Wild Ale
9626	Bocholt Premium Belgium Lager	5.00	Brouwerij Martens NV	European Pale Lager
9627	Double Barrel Derivation	15.00	Side Project Brewing	American Imperial Stout
9628	Barn Yeti Belgian Winter Ale	9.00	450 North Brewing Company	Belgian Strong Dark Ale
9629	Miles Away	6.60	Trillium Brewing Company	Berliner Weisse
9630	Ibushi	4.70	Godspeed Brewery	German Pilsner
9631	Gosuhhh, Dude? Pineapple/Cherry	4.00	More Brewing Co.	Leipzig Gose
9632	VT IPA	6.00	Long Trail Brewing Co.	New England IPA
9633	In-Tents IPL	6.80	Base Camp Brewing Company	American Lager
9634	Interlude	10.60	Allagash Brewing Company	Belgian Saison
9635	O'Leary's Milk Stout	7.80	Engine House No. 9	English Sweet / Milk Stout
9636	Moophoric	8.10	Bolero Snort Brewery	American Imperial IPA
9637	DAB Radler	3.00	Dortmunder Actien Brauerei / DAB	Fruit and Field Beer
9638	Guy On A Buffalo Coffee Stout	5.10	Great Northern Brewing Co. / Black Star Draught House	American Stout
9639	Mexican Brunch - Bourbon Barrel-Aged	11.40	Kane Brewing Company	American Imperial Porter
9640	Highland Imperial Black Mocha Stout	9.50	Highland Brewing	American Imperial Stout
9641	Coin Operated	5.50	Edmund's Oast Brewing Company	Belgian Pale Ale
9642	Franziskaner Hefe-Weisse Dunkel	5.00	Spaten-Franziskaner-Bräu	German Dunkelweizen
9643	Life Itself	4.20	Platform Beer Co.	Leipzig Gose
9644	Hopstate NY (2015)	5.60	Brewery Ommegang	American Pale Ale (APA)
9645	#338 Hara-guro	5.50	Ushitora Brewing	Smoke Beer
9646	Reverend Brown	7.00	Alter Brewing Company	American Brown Ale
9647	ZYGoat	10.50	Amundsen Bryggeri & Spiseri	English Sweet / Milk Stout
9648	Solar Wind	6.10	Vocation Brewery	American Brut IPA
9649	Fallen Flag - Double Dry-Hopped	7.00	Narrow Gauge Brewing Company	New England IPA
9650	Stevie the TV	6.00	Short's Brewing Company	American Stout
9651	Anniversary Porter (2016)	?	Confluence Brewing Company	American Porter
9652	Aurastone	4.90	Jester King Brewery	Belgian Saison
9653	Juice Jr.	6.00	Great Notion Brewing	New England IPA
9654	Arend Dubbel	6.50	Brouwerij De Ryck	Belgian Dubbel
9655	Imperial Stout	?	Broadway Brewery & Restaurant	Russian Imperial Stout
9656	Lepton	5.20	Forest & Main Brewing Company	Belgian Saison
9657	Strawberry Milkshake IPA	6.90	WoodGrain Brewing Co	American IPA
9658	St. Dekkera Reserve: Flanders Oud Bruin	7.20	DESTIHL Brewery	Flanders Oud Bruin
